;Марка;Цена без НДС, руб./км
11.01.2022;CONFLEX МКШВ 6х0,75;241973,5
11.01.2022;CONFLEX МКШВ 6х2х0,5;330745,69
11.01.2022;CONFLEX МКШВ 3х2х1,5;451575,06
11.01.2022;CONFLEX МКШВ 5х0,5;144601,09
11.01.2022;CONFLEX МКШВ 37х0,75;1359796,6
11.01.2022;CONFLEX МКШВ 5х1,0;261475,37
11.01.2022;CONFLEX МКШВ 4х3х0,75;474134,94
11.01.2022;CONFLEX МКШВ 2х3х0,75;250865,6
11.01.2022;CONFLEX МКШВ 8х2х1,0;822229,92
11.01.2022;CONFLEX МКШВ 12х0,75;460050,69
11.01.2022;CONFLEX МКШВ 14х2х0,5;743210,95
11.01.2022;CONFLEX МКШВ 14х3х1,0;2083586,63
11.01.2022;CONFLEX МКШВ 17х1,5;1186958,83
11.01.2022;CONFLEX МКШВ 12х0,5;316060,91
11.01.2022;CONFLEX МКШВ 9х0,75;353447,82
11.01.2022;CONFLEX МКШВ 2х1,0;120808,11
11.01.2022;CONFLEX МКШВ 37х1,0;1761516,88
11.01.2022;CONFLEX МКШВ 6х3х0,5;474425,45
11.01.2022;CONFLEX МКШВ 4х3х0,5;326118,63
11.01.2022;CONFLEX МКШВ 24х0,5;607173,22
11.01.2022;CONFLEX МКШВ 7х2,5;786667,59
11.01.2022;CONFLEX МКШВ 10х0,5;269731,37
11.01.2022;CONFLEX МКШВ 7х0,5;191992,69
11.01.2022;CONFLEX МКШВ 16х2х0,75;1238097,15
11.01.2022;CONFLEX МКШВ 16х2х1,5;2291280
11.01.2022;CONFLEX МКШВ 18х3х1,5;3800897,82
11.01.2022;CONFLEX МКШВ 10х2х0,75;788226,97
11.01.2022;CONFLEX МКШВ 14х2,5;1572798,77
11.01.2022;CONFLEX МКШВ 18х2х1,5;2568367,39
11.01.2022;CONFLEX МКШВ 17х1,0;829948,51
11.01.2022;CONFLEX МКШВ 8х2х1,5;1160309,72
11.01.2022;CONFLEX МКШВ 14х0,75;534459,12
11.01.2022;CONFLEX МКШВ 37х2,5;4074783,03
11.01.2022;CONFLEX МКШВ 4х1,5;295512,04
11.01.2022;CONFLEX МКШВ 8х2х0,75;631416,68
11.01.2022;CONFLEX МКШВ 14х2х2,5;3229645,9
11.01.2022;CONFLEX МКШВ 30х0,75;1113106,11
11.01.2022;CONFLEX МКШВ 18х3х0,75;2049665,76
11.01.2022;CONFLEX МКШВ 8х3х0,75;928269,12
11.01.2022;CONFLEX МКШВ 12х2х1,0;1208074,7
11.01.2022;CONFLEX МКШВ 30х1,5;2054272,3
11.01.2022;CONFLEX МКШВ 14х3х2,5;4793160,79
11.01.2022;CONFLEX МКШВ 10х3х0,5;772003,87
11.01.2022;CONFLEX МКШВ 24х3х0,75;2710608,51
11.01.2022;CONFLEX МКШВ 19х1,5;1318293,43
11.01.2022;CONFLEX МКШВ 8х3х0,5;624954,11
11.01.2022;CONFLEX МКШВ 8х2х2,5;1862993,81
11.01.2022;CONFLEX МКШВ 3х3х0,75;363273,19
11.01.2022;CONFLEX МКШВ 27х1,0;1302467,59
11.01.2022;CONFLEX МКШВ 24х1,0;1165615,4
11.01.2022;CONFLEX МКШВ 4х3х2,5;1386604,19
11.01.2022;CONFLEX МКШВ 12х2,5;1346478,02
11.01.2022;CONFLEX МКШВ 3х1,0;167245,64
11.01.2022;CONFLEX МКШВ 5х2х1,5;729830,44
11.01.2022;CONFLEX МКШВ 14х3х0,75;1598876,78
11.01.2022;CONFLEX МКШВ 37х2х1,5;5204437,25
11.01.2022;CONFLEX МКШВ 8х0,75;314890,9
11.01.2022;CONFLEX МКШВ 2х2,5;248273,24
11.01.2022;CONFLEX МКШВ 12х3х0,75;1368989,7
11.01.2022;CONFLEX МКШВ 6х2х1,0;616276,41
11.01.2022;CONFLEX МКШВ 3х3х1,0;466255,5
11.01.2022;CONFLEX МКШВ 8х1,0;404153,67
11.01.2022;CONFLEX МКШВ 14х3х1,5;2974476,47
11.01.2022;CONFLEX МКШВ 4х1,0;214247,25
11.01.2022;CONFLEX МКШВ 10х2х2,5;2313735,37
11.01.2022;CONFLEX МКШВ 6х0,5;169647,87
11.01.2022;CONFLEX МКШВ 3х3х1,5;655330,97
11.01.2022;CONFLEX МКШВ 5х2х0,5;280966,66
11.01.2022;CONFLEX МКШВ 6х1,5;431177,38
11.01.2022;CONFLEX МКШВ 16х3х1,0;2370459,47
11.01.2022;CONFLEX МКШВ 19х2,5;2115345,08
11.01.2022;CONFLEX МКШВ 10х3х2,5;3423838,97
