;Марка;Цена без НДС, руб./км;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x2x1,5kl5 690V;416891,1448;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x2x2,5kl5 690V;3787013,423;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 18x3x0,75kl5 690V;1431448,696;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x2x2,5kl5 690V;820769,0093;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 37x1,5kl5 690V;1778933,059;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 18x2x0,5kl5 690V;660378,6412;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x2x0,5kl5 690V;204253,7413;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x0,75kl5 690V;152860,7096;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 7x2x0,5kl5 690V;273992,3126;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x3x0,75kl5 690V;260604,1266;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x2x0,5kl5 690V;871926,4106;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x3x0,75kl5 690V;1889714,366;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x1,5kl5 690V;503377,3614;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x3x2,5kl5 690V;731595,7559;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x0,75kl5 690V;125576,7656;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x3x1,0kl5 690V;1048981,114;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 37x2,5kl5 690V;2853171,76;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 2x2x1,0kl5 690V;164495,7817;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 37x2x1,5kl5 690V;3597402,279;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x1,5kl5 690V;1170309,088;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 27x2x0,5kl5 690V;973812,3811;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 27x2,5kl5 690V;2101493,712;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x2x0,75kl5 690V;342611,9157;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 17x0,75kl5 690V;459750,4539;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 18x3x1,5kl5 690V;2644219,733;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x1,5kl5 690V;595328,6019;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x1,0kl5 690V;192692,422;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 18x3x0,5kl5 690V;964245,727;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 18x2x1,0kl5 690V;1257361,324;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x2,5kl5 690V;800651,4386;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x3x0,5kl5 690V;340967,8831;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x0,5kl5 690V;160893,7883;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x0,5kl5 690V;229923,8467;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x3x0,75kl5 690V;1126254,503;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 19x0,5kl5 690V;348791,1521;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 5x3x2,5kl5 690V;1209481,399;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 37x2x2,5kl5 690V;5797000,082;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x2x1,5kl5 690V;1008827,072;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x1,0kl5 690V;226594,9498;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x1,0kl5 690V;157992,6916;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 37x2x1,0kl5 690V;2522635,221;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 30x1,5kl5 690V;1454206,158;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x3x1,0kl5 690V;642864,331;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 27x0,5kl5 690V;483886,517;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 7x2x2,5kl5 690V;1137406,743;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 16x2x0,5kl5 690V;591965,5556;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 16x2x0,75kl5 690V;871793,2036;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 27x2x2,5kl5 690V;4248486,109;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x2x0,75kl5 690V;445767,3815;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 4x2x0,5kl5 690V;167341,4533;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 30x2x2,5kl5 690V;4722176,445;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x2x0,75kl5 690V;1280441,215;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 37x1,0kl5 690V;1250868,675;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 9x1,0kl5 690V;326606,3919;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x2x1,0kl5 690V;851684,7231;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x0,75kl5 690V;99969,72588;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 30x2,5kl5 690V;2327119,067;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 24x3x2,5kl5 690V;5657299,298;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 14x1,0kl5 690V;492374,2978;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x2x1,0kl5 690V;711830,2182;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x2x1,0kl5 690V;233333,7686;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 7x1,5kl5 690V;357634,9458;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 12x3x1,0kl5 690V;1247910,188;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 6x2x0,5kl5 690V;239125,9382;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 27x1,5kl5 690V;1308449,198;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 3x3x1,0kl5 690V;332725,8056;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 8x3x1,5kl5 690V;1192409,9;
15.07.2021;ATOMKIP-KUVOfVng(A)-LS 10x2x0,5kl5 690V;377845,8007;
